subject,datestamp,timestamp,version,crt1,crt2,crt3,id
A9HG8QEUGH4KN_m3r5,2014-09-09,14:12:39,la_moral_3p_random,0,5,24,687
A1XJ3BSSZECL4P_m3r5,2014-09-09,14:12:51,la_moral_3p_random,10,100,24,688
ACT7CRH2BAWIY_m3r5,2014-09-09,14:13:03,la_moral_3p_random,10,5,24,689
A2H2FY88G8L1LB_m3r5,2014-09-09,14:13:54,la_moral_3p_random,0,20,47,690
AKZTERGU6GRXE_m3r5,2014-09-09,14:14:28,la_moral_3p_random,0,100,24,691
A1S88VQY8G8CNC_m3r5,2014-09-09,14:15:00,la_moral_3p_random,5,25,12,692
A1ETJBNTO9ZWZ8_m3r5,2014-09-09,14:15:20,la_moral_3p_random,5,5,47,693
A9F041T771FZ2_m3r5,2014-09-09,14:16:12,la_moral_3p_random,10,100,24,694
A3NTN55QZLFU51_m3r5,2014-09-09,14:18:13,la_moral_3p_random,10,5,24,695
A2SRXFK73C1QE9_m3r5,2014-09-09,14:21:27,la_moral_3p_random,105,500,47,696
A2S62LICLGP9ZI_m3r5,2014-09-09,14:21:38,la_moral_3p_random,10,100,24,697
ACTPXLRRLBWFB_m3r5,2014-09-09,14:23:08,la_moral_3p_random,5,5,47,698
AEKCK3L7OKCY9_m3r5,2014-09-09,14:25:51,la_moral_3p_random,10,100,24,699
AYF8B7WJO2YQU_m3r5,2014-09-09,14:30:09,la_moral_3p_random,1,5,47,700
A3U0A3LP7Q38JC_m3r5,2014-09-09,14:31:04,la_moral_3p_random,5,5,47,701
ACJB56HJ1QFMH_m3r5,2014-09-09,14:35:41,la_moral_3p_random,2,20,24,702
AQN3WMCEA96DQ_m3r5,2014-09-09,14:35:57,la_moral_3p_random,10,5,47,703
A1RGBY2W0ZD2HN_m3r5,2014-09-09,14:37:56,la_moral_3p_random,0,100,96,704
undefined_m3r5,2014-09-09,14:39:08,la_moral_3p_random,10,100,14,705
A2MG57U8NJGA9U_m3r5,2014-09-09,14:40:29,la_moral_3p_random,5,5,47,706
" A1QW9X92VY4J4D_m3r5",2014-09-09,14:45:26,la_moral_3p_random,9,5,47,707
A16ZBL55UWVTQK_m3r5,2014-09-09,14:45:38,la_moral_3p_random,0,20,14,708
A19KJKSZZAIDO_m3r5,2014-09-09,14:45:39,la_moral_3p_random,10,100,47,709
A27BUT19WQ6P1O_m3r5,2014-09-09,14:49:38,la_moral_3p_random,1,5,47,710
A1PG4ARE585E5Q_m3r5,2014-09-09,14:49:55,la_moral_3p_random,0,1,47,711
A1MUL6WOQYAGG9_m3r5,2014-09-09,15:01:07,la_moral_3p_random,0,100,47,712
AOPG07J95DDJT_m3r5,2014-09-09,15:15:05,la_moral_3p_random,0,5,47,713
ARVSVYBL46LC9_m3r5,2014-09-09,15:20:31,la_moral_3p_random,5,5,47,714
A3R25SV8HUGML2_m3r5,2014-09-09,15:27:06,la_moral_3p_random,10,100,24,715
A1XPUUD0HLD6HB_m3r5,2014-09-09,15:28:44,la_moral_3p_random,0,100,24,716
A2EZIVFW94AFCY_m3r5,2014-09-09,15:48:12,la_moral_3p_random,10,100,47,717
A3K9D8GTORL5BN_m3r5,2014-09-09,15:55:24,la_moral_3p_random,0,5,23,718
A8BGHKGBA8O33_m3r5,2014-09-09,16:09:18,la_moral_3p_random,0,100,47,719
A2CCK1JKX48R0H_m3r5,2014-09-09,16:10:23,la_moral_3p_random,5,5,47,720
A2653BIPJKEMRK_m3r5,2014-09-09,16:10:51,la_moral_3p_random,10,5,47,721
" A2U0PGDD0O1GBR_m3r5",2014-09-09,16:17:00,la_moral_3p_random,0,100,47,722
A1RWNYJA5X25YH_m3r5,2014-09-09,16:21:27,la_moral_3p_random,10,100,24,723
A3PLIK4J4WEWWD_m3r5,2014-09-09,16:29:19,la_moral_3p_random,10,100,24,724
A3696JXTRKL2FI_m3r5,2014-09-09,16:30:46,la_moral_3p_random,0,100,47,725
AVCXJ9M71WDCB_m3r5,2014-09-09,16:43:09,la_moral_3p_random,5,5,47,726
A11WC4G8LOMYQO_m3r5,2014-09-09,16:58:51,la_moral_3p_random,5,5,47,727
A5WGOX0NBXJE4_m3r5,2014-09-09,17:13:03,la_moral_3p_random,0,10,24,728
A1H95TGQZSN1P1_m3r5,2014-09-09,17:18:39,la_moral_3p_random,5,5,47,729
A1EB857G7CK9K9_m3r5,2014-09-09,17:42:50,la_moral_3p_random,10,100,24,730
A1XLGIFFGB01EU_m3r5,2014-09-10,15:17:06,la_moral_3p_random,5,100,47,731
A3MZX94O5WLVPM_m3r5,2014-09-10,15:17:09,la_moral_3p_random,0,48,98,732
A16QWUZ58QTD5W_m3r5,2014-09-10,15:18:42,la_moral_3p_random,5,5,47,733
A3VMBFGYG07DJA_m3r5,2014-09-10,15:18:44,la_moral_3p_random,5,5,32,734
A25ROS9CH7PSFZ_m3r5,2014-09-10,15:18:58,la_moral_3p_random,0,5,47,735
