subject,datestamp,timestamp,version,d1,d2,d3,d4,d5,d6,d7,d8,d9,id
" A1IZ4NX41GKU4X_m3r5",2014-08-19,17:13:08,lossave_moral,0,0,1,0,1,0,0,0,1,376
A10V3PXHLR4VRM_m3r5,2014-08-19,17:13:25,lossave_moral,0,0,1,0,1,0,0,0,1,377
"       A1922YIUI5MMUP_m3r5",2014-08-19,17:13:25,lossave_moral,0,0,1,1,1,1,1,0,1,378
A1MIEWVNQ9ZOWW_m3r5,2014-08-19,17:13:27,lossave_moral,0,0,1,0,1,0,1,0,1,379
A2OF53SX9BQ7RO_m3r5,2014-08-19,17:13:55,lossave_moral,0,0,1,0,0,0,0,0,1,380
A2WH5WTM85ZF7G_m3r5,2014-08-19,17:14:04,lossave_moral,0,0,1,1,1,1,1,0,1,381
A2ZE2IPHK152KA_m3r5,2014-08-19,17:14:07,lossave_moral,0,0,1,0,0,0,0,0,1,382
A2QQFGD7K7AHK8_m3r5,2014-08-19,17:14:07,lossave_moral,0,0,1,0,1,1,1,0,1,383
A13Q8W0MU2Q928_m3r5,2014-08-19,17:14:09,lossave_moral,0,0,1,1,1,0,1,0,1,384
A22JDX98OTND6F_m3r5,2014-08-19,17:14:18,lossave_moral,0,0,1,0,1,0,1,0,1,385
A1IOJ2LGMGISYM_m3r5,2014-08-19,17:14:22,lossave_moral,0,0,1,0,1,0,1,0,1,386
A1JT8X72RBC8S5_m3r5,2014-08-19,17:14:23,lossave_moral,0,0,1,1,0,0,1,0,1,387
A37EC6JJ8SSJ2J_m3r5,2014-08-19,17:14:41,lossave_moral,0,0,1,0,1,0,1,0,1,388
A6IFGLL1RUCZU_m3r5,2014-08-19,17:14:44,lossave_moral,0,0,1,0,0,0,0,0,1,389
AKB1IT758U2LU_m3r5,2014-08-19,17:15:06,lossave_moral,0,0,0,0,0,0,0,0,0,390
AU0NZI2T3R792_m3r5,2014-08-19,17:15:13,lossave_moral,0,0,0,0,0,0,0,0,1,391
A2FMIQ8I86GWVQ_m3r5,2014-08-19,17:15:21,lossave_moral,0,0,0,0,0,0,0,0,1,392
A3LMBD00DY11MJ_m3r5,2014-08-19,17:15:28,lossave_moral,0,0,1,0,1,0,1,0,1,393
A1SIJ3BJFDZ8CU_m3r5,2014-08-19,17:16:03,lossave_moral,0,0,1,0,1,0,0,0,1,394
A2Y0ZGI29KQBTB_m3r5,2014-08-19,17:16:06,lossave_moral,0,1,1,1,1,1,1,0,1,395
A2IFAPS9K2J2QC_m3r5,2014-08-19,17:16:07,lossave_moral,0,0,1,1,1,0,1,0,1,396
AXPJ220BBN3MU_m3r5,2014-08-19,17:16:10,lossave_moral,0,0,1,0,0,0,0,0,1,397
AISWQM71RW9A2_m3r5,2014-08-19,17:16:28,lossave_moral,0,0,1,1,1,0,1,0,1,398
A3GWGTLQNHVQ2M_m3r5,2014-08-19,17:16:31,lossave_moral,0,0,0,0,0,0,0,0,0,399
A3CLS3ZSAIOAHC_m3r5,2014-08-19,17:16:35,lossave_moral,0,0,0,0,0,0,0,0,0,400
A32VJLRWGMYGSU_m3r5,2014-08-19,17:16:51,lossave_moral,0,0,1,0,1,0,0,0,1,401
A1CUIN1FSZCM50_m3r5,2014-08-19,17:16:52,lossave_moral,0,0,1,0,1,0,1,0,1,402
ATDFF5B4NKQC7_m3r5,2014-08-19,17:16:54,lossave_moral,0,0,1,1,1,0,1,0,1,403
A1EPR9V3VID3RI_m3r5,2014-08-19,17:17:08,lossave_moral,0,0,1,0,1,0,0,0,1,404
A2XTUQ4CD1LF2K_m3r5,2014-08-19,17:17:12,lossave_moral,0,0,1,0,1,0,0,0,1,405
A1FZJ3S9CN8Z7T_m3r5,2014-08-19,17:17:14,lossave_moral,0,1,1,1,1,1,1,1,1,406
A2WDTJBM4ES5S4_m3r5,2014-08-19,17:17:30,lossave_moral,0,0,1,1,1,0,1,0,1,407
A1KISETSF4J3FI_m3r5,2014-08-19,17:17:36,lossave_moral,0,0,1,0,1,0,0,0,1,408
A2EP2TI8HE8EGK_m3r5,2014-08-19,17:17:49,lossave_moral,0,0,1,1,1,0,1,0,1,409
A1F0VPCA2QEVKZ_m3r5,2014-08-19,17:17:55,lossave_moral,0,0,1,0,1,0,0,0,1,410
A3J55BJGV95JKH_m3r5,2014-08-19,17:17:56,lossave_moral,0,0,0,0,0,0,0,0,1,411
AQHYHAYS90S76_m3r5,2014-08-19,17:17:57,lossave_moral,0,0,1,0,0,0,0,0,1,412
A3938KLA9ORH2U_m3r5,2014-08-19,17:18:12,lossave_moral,0,0,1,0,1,0,0,0,1,413
A2B5HZBQ6C3J3L_m3r5,2014-08-19,17:18:23,lossave_moral,0,0,1,1,1,1,1,0,1,414
AT9AFUEEYD8DE_m3r5,2014-08-19,17:18:28,lossave_moral,0,0,1,1,1,0,1,0,1,415
A1H198MRIM37T1_m3r5,2014-08-19,17:18:35,lossave_moral,0,0,1,1,1,1,1,0,1,416
A3JTR8H8X5WF11_m3r5,2014-08-19,17:18:35,lossave_moral,0,0,1,0,1,0,0,0,1,417
AVPKE76DJLWK6_m3r5,2014-08-19,17:18:51,lossave_moral,0,0,1,0,1,0,1,0,1,418
A2KPT0PEUEXCC4_m3r5,2014-08-19,17:18:57,lossave_moral,0,0,1,0,1,0,0,0,1,419
A2M2BNQ1XW3J4Y_m3r5,2014-08-19,17:19:02,lossave_moral,0,0,1,0,1,0,0,0,1,420
A2X7J4C6MIXVDB_m3r5,2014-08-19,17:19:49,lossave_moral,0,0,1,0,1,0,0,0,1,421
A2GZI3UFOTY969_m3r5,2014-08-19,17:19:59,lossave_moral,0,0,0,0,0,0,0,0,0,422
A2P6VK1US8OTC5_m3r5,2014-08-19,17:20:27,lossave_moral,0,0,1,1,1,1,1,0,1,423
A21EPR8KW0GWX2_m3r5,2014-08-19,17:20:56,lossave_moral,0,0,1,0,1,0,1,0,1,424
A35UUN98XNQJJS_m3r5,2014-08-19,17:20:56,lossave_moral,0,0,1,0,1,0,1,0,1,425
A3RU7ANMLXJQF6_m3r5,2014-08-19,17:21:00,lossave_moral,0,0,1,0,1,0,0,0,1,426
A3U3JYF64SJ4EJ_m3r5,2014-08-19,17:21:07,lossave_moral,0,0,1,1,1,0,1,0,1,427
A3R75ZHD4610J_m3r5,2014-08-19,17:21:13,lossave_moral,0,0,1,0,1,0,0,0,1,428
A2OLVF6P86QSQJ_m3r5,2014-08-19,17:21:18,lossave_moral,0,0,1,1,1,1,1,0,1,429
A16GYJ4ZNAJ1FE_m3r5,2014-08-19,17:21:25,lossave_moral,0,0,1,0,0,0,0,0,1,430
AKG7VBOY97HKA_m3r5,2014-08-19,17:21:32,lossave_moral,0,0,1,0,1,0,0,0,1,431
A1H3TNUIQS76TM_m3r5,2014-08-19,17:21:34,lossave_moral,0,0,1,0,1,0,0,0,1,432
A3H4B9BMSFGXWG_m3r5,2014-08-19,17:21:57,lossave_moral,0,0,1,0,1,0,0,0,1,433
AAS0V105QISPM_m3r5,2014-08-19,17:22:01,lossave_moral,0,0,1,0,0,0,0,0,0,434
" ASUN9TWBTBRCY_m3r5",2014-08-19,17:22:06,lossave_moral,0,0,1,0,1,0,0,0,1,435
A4N6HMS8AW9ZB_m3r5,2014-08-19,17:22:09,lossave_moral,0,0,1,0,1,0,0,0,1,436
AB1X97ASE626Q_m3r5,2014-08-19,17:22:11,lossave_moral,0,0,1,1,1,1,1,1,1,437
A1LO480CZXGR32_m3r5,2014-08-19,17:22:12,lossave_moral,0,0,1,1,1,1,1,0,1,438
A3AZJGI9D7C0PD_m3r5,2014-08-19,17:22:13,lossave_moral,0,0,0,0,0,0,0,0,0,439
A3DAXQCWF0YI0M_m3r5,2014-08-19,17:22:20,lossave_moral,0,0,1,0,0,0,0,0,1,440
A8ZJ0R59VBVMC_m3r5,2014-08-19,17:22:24,lossave_moral,0,0,1,1,1,1,1,0,1,441
A1XR97XSHB17AB_m3r5,2014-08-19,17:22:25,lossave_moral,0,0,1,0,1,0,0,0,1,442
" A37FQI6S9XARBT_m3r5",2014-08-19,17:22:29,lossave_moral,0,0,1,0,1,1,1,0,1,443
A2FRFMTVRHBF53_m3r5,2014-08-19,17:22:54,lossave_moral,0,1,1,0,1,0,1,1,1,444
A6GK3W5MDWXCY_m3r5,2014-08-19,17:23:07,lossave_moral,0,0,1,0,1,0,0,0,1,445
A2L73JKDFWI0KJ_m3r5,2014-08-19,17:23:34,lossave_moral,0,0,0,0,0,0,0,0,0,446
A1QCJ8KX7WWY1B_m3r5,2014-08-19,17:23:36,lossave_moral,0,0,1,1,1,0,1,0,1,447
AY1CM9ZI774II_m3r5,2014-08-19,17:23:39,lossave_moral,0,0,1,0,1,0,0,0,1,448
ARN53ET0LBBBP_m3r5,2014-08-19,17:23:45,lossave_moral,0,0,1,0,0,0,0,0,1,449
A3675LEANIPGBO_m3r5,2014-08-19,17:23:49,lossave_moral,1,1,1,1,1,1,1,1,1,450
A1T9ZEA4PGLHYD_m3r5,2014-08-19,17:23:55,lossave_moral,0,0,1,1,1,0,1,0,1,451
A1KOHXO0BIQB8T_m3r5,2014-08-19,17:23:56,lossave_moral,1,1,1,1,1,1,1,1,1,452
A14WLAP6TCEKO0_m3r5,2014-08-19,17:24:10,lossave_moral,0,0,1,0,0,0,0,0,1,453
A18DKL63PB77JH_m3r5,2014-08-19,17:24:20,lossave_moral,0,0,1,0,1,0,1,0,1,454
A3MFS69UTW9KL8_m3r5,2014-08-19,17:24:38,lossave_moral,0,0,1,0,1,0,0,0,1,455
A1QMSDPJMMIO0T_m3r5,2014-08-19,17:24:40,lossave_moral,0,0,1,0,1,0,0,0,1,456
A269Z70PE47Z5X_m3r5,2014-08-19,17:24:40,lossave_moral,0,0,1,0,1,0,0,0,1,457
A1OW8OJ9OIY182_m3r5,2014-08-19,17:24:42,lossave_moral,0,0,1,1,1,1,1,0,1,458
A3AQYGTOA6MFL8_m3r5,2014-08-19,17:24:47,lossave_moral,0,0,1,1,1,1,1,0,1,459
AVIOR20K5ZXQD_m3r5,2014-08-19,17:24:49,lossave_moral,0,0,1,1,1,0,1,0,1,460
A2NZ7RMSBXESNI_m3r5,2014-08-19,17:25:08,lossave_moral,0,0,1,0,1,1,1,0,1,461
A1K6T4BCZASC50_m3r5,2014-08-19,17:25:34,lossave_moral,0,0,1,0,1,0,1,0,1,462
A315IS7QIVORIT_m3r5,2014-08-19,17:25:37,lossave_moral,0,0,1,0,1,0,0,0,1,463
A17BQ2QRW1V9AO_m3r5,2014-08-19,17:25:38,lossave_moral,0,0,1,0,0,0,0,0,1,464
A5ZWYI3H052FT_m3r5,2014-08-19,17:25:41,lossave_moral,0,0,1,0,1,0,1,0,1,465
A1PIJKC3FM7B60_m3r5,2014-08-19,17:25:46,lossave_moral,0,0,1,0,1,0,0,0,1,466
A3QLTVQPG1N27R_m3r5,2014-08-19,17:25:50,lossave_moral,0,0,1,0,1,0,0,0,1,467
A32MGSAQ6QL9CK_m3r5,2014-08-19,17:25:50,lossave_moral,0,0,1,0,1,1,1,0,1,468
A33AZCOKCCTUXV_m3r5,2014-08-19,17:26:06,lossave_moral,0,0,1,0,0,0,0,0,1,469
A22KRF782ELLB0_m3r5,2014-08-19,17:26:13,lossave_moral,0,0,1,0,1,0,1,0,1,470
A2SVUP7CUY0P3L_m3r5,2014-08-19,17:26:28,lossave_moral,0,0,1,1,1,1,1,0,1,471
A2MQXFHQABHJ8E_m3r5,2014-08-19,17:26:39,lossave_moral,0,0,1,0,0,0,0,0,1,472
A1GDDULNGBI1P9_m3r5,2014-08-19,17:26:43,lossave_moral,0,0,0,0,0,0,0,0,0,473
A35BNQU01DFD0D_m3r5,2014-08-19,17:26:58,lossave_moral,0,0,1,0,1,0,0,0,1,474
A3KO0A2DR3CH4F_m3r5,2014-08-19,17:27:08,lossave_moral,0,0,1,0,1,0,0,0,1,475
A2AG0341RLZ2L8_m3r5,2014-08-19,17:27:08,lossave_moral,0,0,1,0,0,0,0,0,0,476
A3QSI8SVB5HJI7_m3r5,2014-08-19,17:27:10,lossave_moral,0,0,1,0,1,0,0,0,1,477
A2ALWT2BUSXD83_m3r5,2014-08-19,17:27:16,lossave_moral,0,0,1,0,1,0,1,0,1,478
A3TG5YNIWW3WGP_m3r5,2014-08-19,17:27:16,lossave_moral,0,0,1,0,0,0,1,0,1,479
A70AS0KVKADBY_m3r5,2014-08-19,17:27:19,lossave_moral,0,0,1,0,0,0,0,0,1,480
A423QQ5WN43B9_m3r5,2014-08-19,17:27:24,lossave_moral,0,1,1,1,1,1,1,1,1,481
A35QKJ6MGNT45D_m3r5,2014-08-19,17:27:27,lossave_moral,0,0,1,0,1,0,1,0,1,482
AF55TOBE2AI1U_m3r5,2014-08-19,17:27:32,lossave_moral,0,0,1,1,1,1,1,1,1,483
A2TVG2HLMKVMSL_m3r5,2014-08-19,17:27:33,lossave_moral,0,0,1,0,1,0,0,0,1,484
ACVN9KEBM2GHR_m3r5,2014-08-19,17:27:44,lossave_moral,0,0,1,1,1,0,1,0,1,485
A2EM7RPFW3DU9N_m3r5,2014-08-19,17:27:44,lossave_moral,0,0,0,0,0,0,1,0,1,486
A31O5XYX80XD21_m3r5,2014-08-19,17:27:54,lossave_moral,0,0,1,1,1,1,1,0,1,487
A162Z8CZSL0NG1_m3r5,2014-08-19,17:28:10,lossave_moral,0,0,1,0,1,0,1,0,1,488
A23UGHBSIY45CU_m3r5,2014-08-19,17:28:14,lossave_moral,0,0,0,0,1,0,0,0,1,489
A3CD3C99T8S6ON_m3r5,2014-08-19,17:28:17,lossave_moral,0,0,1,1,1,1,1,1,1,490
A30EONSVHP1J0F_m3r5,2014-08-19,17:28:31,lossave_moral,0,0,1,0,1,0,0,0,1,491
A1FHY6RNR9QHT9_m3r5,2014-08-19,17:28:38,lossave_moral,0,0,1,0,1,0,1,0,1,492
A3S7EWRS6P5UC0_m3r5,2014-08-19,17:28:41,lossave_moral,0,0,1,0,0,0,0,0,1,493
AEVU71Z2FDTUX_m3r5,2014-08-19,17:28:48,lossave_moral,0,0,1,0,1,0,0,0,1,494
A20IF612YY351J_m3r5,2014-08-19,17:28:51,lossave_moral,0,0,1,1,1,1,1,0,1,495
AN25IBDC0DUO7_m3r5,2014-08-19,17:28:58,lossave_moral,1,1,1,1,1,1,1,1,1,496
" A1PYODCHRF96S8_m3r5",2014-08-19,17:28:59,lossave_moral,0,0,1,0,1,0,0,0,1,497
A2UVEVCYVC553J_m3r5,2014-08-19,17:29:12,lossave_moral,0,0,1,0,1,1,1,0,1,498
A333JVWMKDSOF8_m3r5,2014-08-19,17:29:21,lossave_moral,0,0,1,0,1,0,0,0,1,499
A26F9VP8ELLZC4_m3r5,2014-08-19,17:29:31,lossave_moral,0,0,1,0,0,0,1,0,1,500
A1XB4TAGJDNMR_m3r5,2014-08-19,17:29:38,lossave_moral,0,0,1,0,1,0,0,0,1,501
A1FB4RHFD0QZ3C_m3r5,2014-08-19,17:29:48,lossave_moral,0,0,1,0,1,0,0,0,1,502
A3I4EEKYGS03T6_m3r5,2014-08-19,17:29:59,lossave_moral,0,0,1,0,0,0,1,0,0,503
A2QG6V1C14866C_m3r5,2014-08-19,17:30:23,lossave_moral,0,0,0,0,0,0,0,0,1,504
ANMC5ZLSMTY43_m3r5,2014-08-19,17:30:39,lossave_moral,0,0,1,0,0,0,0,0,1,505
A2D2XQP00IZFR1_m3r5,2014-08-19,17:30:53,lossave_moral,0,0,1,0,1,0,0,0,1,506
A1ONILGBGJ8Y5K_m3r5,2014-08-19,17:31:01,lossave_moral,0,0,1,0,1,0,1,0,1,507
A26T6O5EFR54A9_m3r5,2014-08-19,17:31:13,lossave_moral,0,0,1,0,1,1,1,0,1,508
ALILKWW13RD9_m3r5,2014-08-19,17:31:38,lossave_moral,0,0,1,0,1,0,1,0,1,509
A14G74OGU7ADCS_m3r5,2014-08-19,17:31:41,lossave_moral,0,0,1,1,1,0,1,0,1,510
A23N4SC7GRNAIG_m3r5,2014-08-19,17:31:42,lossave_moral,0,0,1,0,1,0,0,0,1,511
A1W36Q5THCHYUZ_m3r5,2014-08-19,17:31:56,lossave_moral,0,0,0,0,1,0,0,0,1,512
A3JTR8H8X5WF11_m3r5,2014-08-19,17:32:52,lossave_moral,0,0,1,0,1,0,1,0,1,513
A3OJCWC178255T_m3r5,2014-08-19,17:33:03,lossave_moral,0,0,1,0,1,0,1,0,1,514
ATVU7N0LN2VY3_m3r5,2014-08-19,17:33:29,lossave_moral,0,0,0,0,1,0,0,0,1,515
A19RAQ7NSO6SGB_m3r5,2014-08-19,17:33:48,lossave_moral,0,0,1,1,1,1,1,1,1,516
A107R5H91EUQ9X_m3r5,2014-08-19,17:33:58,lossave_moral,0,0,1,0,1,0,1,0,1,517
A18SXC3JEN100U_m3r5,2014-08-19,17:34:32,lossave_moral,0,0,1,1,1,1,1,1,1,518
A27BKFN6UB1LDP_m3r5,2014-08-19,17:34:35,lossave_moral,0,0,1,0,1,0,1,0,1,519
A2GS6VJEP91PA9_m3r5,2014-08-19,17:34:53,lossave_moral,0,0,1,0,1,0,0,0,1,520
A2EO5AGNZ0EP8H_m3r5,2014-08-19,17:36:05,lossave_moral,0,0,1,0,0,0,0,0,1,521
A3RXVRZ0M163C0_m3r5,2014-08-19,17:37:34,lossave_moral,0,0,1,0,1,0,0,0,1,522
A2NA2OJT15COZY_m3r5,2014-08-19,17:38:29,lossave_moral,0,0,1,0,1,0,1,0,1,523
