subject,datestamp,timestamp,version,pur1,pur2,pur3,id
A3TON7406KNOVV_m3r5,2014-08-19,17:02:22,lossave_moral,4,5,1,396
A1DJDT4B5B19Q2_m3r5,2014-08-19,17:02:23,lossave_moral,6,3,3,397
A3PNHCZVCBIEJ1_m3r5,2014-08-19,17:02:48,lossave_moral,5,7,2,398
A2FMIQ8I86GWVQ_m3r5,2014-08-19,17:02:50,lossave_moral,6,7,2,399
A2OF53SX9BQ7RO_m3r5,2014-08-19,17:02:51,lossave_moral,7,7,4,400
A1AQI9O8MNVL91_m3r5,2014-08-19,17:02:54,lossave_moral,1,2,3,401
A6IFGLL1RUCZU_m3r5,2014-08-19,17:03:02,lossave_moral,4,7,1,402
A2WDTJBM4ES5S4_m3r5,2014-08-19,17:03:06,lossave_moral,6,5,3,403
ALK4VP6TPCBUV_m3r5,2014-08-19,17:03:08,lossave_moral,4,4,4,404
A35OGKV242IJ78_m3r5,2014-08-19,17:03:13,lossave_moral,5,7,4,405
A3LMBD00DY11MJ_m3r5,2014-08-19,17:03:15,lossave_moral,7,7,4,406
A13Q8W0MU2Q928_m3r5,2014-08-19,17:03:56,lossave_moral,7,7,4,407
ATDFF5B4NKQC7_m3r5,2014-08-19,17:04:01,lossave_moral,4,4,4,408
A2WH5WTM85ZF7G_m3r5,2014-08-19,17:04:01,lossave_moral,7,6,1,409
A32VJLRWGMYGSU_m3r5,2014-08-19,17:04:01,lossave_moral,4,5,3,410
A1ZKLXSO7XLNZM_m3r5,2014-08-19,17:04:02,lossave_moral,2,2,1,411
AT9AFUEEYD8DE_m3r5,2014-08-19,17:04:11,lossave_moral,7,7,4,412
A1MIEWVNQ9ZOWW_m3r5,2014-08-19,17:04:18,lossave_moral,7,7,1,413
" A1IZ4NX41GKU4X_m3r5",2014-08-19,17:04:24,lossave_moral,4,7,1,414
A3H4B9BMSFGXWG_m3r5,2014-08-19,17:04:26,lossave_moral,7,7,3,415
A1KISETSF4J3FI_m3r5,2014-08-19,17:04:54,lossave_moral,3,3,1,416
ARVXIBUCA8WDZ_m3r5,2014-08-19,17:04:56,lossave_moral,5,5,4,417
A20IF612YY351J_m3r5,2014-08-19,17:05:15,lossave_moral,3,2,2,418
AXPJ220BBN3MU_m3r5,2014-08-19,17:05:34,lossave_moral,7,7,4,419
A3CLS3ZSAIOAHC_m3r5,2014-08-19,17:05:35,lossave_moral,7,7,7,420
