subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A1JT8X72RBC8S5_m3r5,8/19/2014,17:16:28,lossave_moral,10,100,24,396,0,,,,
A1K6T4BCZASC50_m3r5,8/19/2014,17:25:42,lossave_moral,10,5,24,460,1,,,,
A1KISETSF4J3FI_m3r5,8/19/2014,17:17:58,lossave_moral,10,100,47,406,1,,,,
A1KOHXO0BIQB8T_m3r5,8/19/2014,17:24:11,lossave_moral,5,5,47,447,3,,,,
A1LMGLI5F2ZT4W_m3r5,8/19/2014,17:02:41,lossave_moral,0,5,24,295,1,,,,
A1LO480CZXGR32_m3r5,8/19/2014,17:22:42,lossave_moral,5,5,47,435,3,,,,
A1M03U3W99BGZ4_m3r5,8/19/2014,17:02:16,lossave_moral,10,100,24,294,0,,,,
A1MIEWVNQ9ZOWW_m3r5,8/19/2014,17:14:29,lossave_moral,10,100,16,381,0,,,,
A1NV0XFWWQSHB1_m3r5,8/19/2014,19:58:00,lossave_moral,0,100,24,576,0,,,,
A1ONILGBGJ8Y5K_m3r5,8/19/2014,17:31:18,lossave_moral,5,5,47,506,3,,,,
A1OU0NJL1UTDJ7_m3r5,8/19/2014,17:06:19,lossave_moral,0,100,24,314,0,,,,
A1OU9O4WETRJBL_m3r5,8/19/2014,17:44:43,lossave_moral,5,5,47,527,3,,,,
A1OW8OJ9OIY182_m3r5,8/19/2014,17:24:59,lossave_moral,0,5,47,455,2,,,,
A1PIJKC3FM7B60_m3r5,8/19/2014,17:26:29,lossave_moral,10,100,24,468,0,,,,
A1Q9NMVO8HTX8H_m3r5,8/19/2014,17:05:17,lossave_moral,0,5,47,306,2,,,,
A1QCJ8KX7WWY1B_m3r5,8/19/2014,17:24:41,lossave_moral,10,100,24,452,0,,,,
A1QMSDPJMMIO0T_m3r5,8/19/2014,17:25:02,lossave_moral,0,5,47,456,2,,,,
A1SIJ3BJFDZ8CU_m3r5,8/19/2014,17:16:36,lossave_moral,0,5,24,397,1,,,,
A1T9ZEA4PGLHYD_m3r5,8/19/2014,17:24:35,lossave_moral,5,5,47,451,3,,,,
A1TCEAVYT9RXBP_m3r5,8/19/2014,18:13:11,lossave_moral,0,100,24,549,0,,,,
