r,p,common,stroop,stay,subj
-1.364,-1.3193,-1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,0,7
0.63596,0.68067,1,-0.10567,1,7
-1.364,0.68067,-1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
3.636,0.68067,1,-0.10567,1,7
-1.364,-2.3193,-1,-0.10567,1,7
-1.364,-2.3193,-1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,1,7
3.636,0.68067,-1,-0.10567,1,7
2.636,0.68067,-1,-0.10567,1,7
-1.364,-1.3193,1,-0.10567,0,7
2.636,0.68067,1,-0.10567,1,7
3.636,0.68067,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
2.636,0.68067,1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,1,7
-1.364,-1.3193,-1,-0.10567,0,7
1.636,0.68067,-1,-0.10567,1,7
-1.364,-2.3193,1,-0.10567,1,7
-1.364,-1.3193,1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
-1.364,-1.3193,-1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
3.636,0.68067,1,-0.10567,1,7
-1.364,-1.3193,-1,-0.10567,1,7
-1.364,-0.31933,-1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,0,7
-1.364,0.68067,-1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
-1.364,-2.3193,1,-0.10567,1,7
-1.364,0.68067,-1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
0.63596,0.68067,1,-0.10567,1,7
1.636,0.68067,-1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,0,7
-1.364,0.68067,-1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
-0.36404,0.68067,1,-0.10567,1,7
1.636,0.68067,-1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,1,7
0.63596,0.68067,-1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,1,7
-1.364,-2.3193,1,-0.10567,0,7
1.636,0.68067,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
-1.364,-2.3193,-1,-0.10567,1,7
-1.364,-1.3193,-1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,0,7
-1.364,-0.31933,1,-0.10567,1,7
-1.364,0.68067,1,-0.10567,1,7
-1.364,0.68067,-1,-0.10567,1,7
-1.364,-0.31933,1,-0.10567,1,7
1.636,0.68067,1,-0.10567,1,7
-1.364,0.68067,-1,0.048708,1,9
3.636,0.68067,1,0.048708,0,9
-1.364,-1.3193,1,0.048708,0,9
1.636,0.68067,1,0.048708,1,9
-1.364,-1.3193,-1,0.048708,0,9
-0.36404,0.68067,1,0.048708,0,9
0.63596,0.68067,1,0.048708,1,9
1.636,0.68067,1,0.048708,1,9
-1.364,0.68067,-1,0.048708,0,9
-1.364,-0.31933,1,0.048708,0,9
1.636,0.68067,1,0.048708,1,9
-0.36404,0.68067,1,0.048708,1,9
-1.364,-2.3193,-1,0.048708,0,9
-1.364,-1.3193,1,0.048708,0,9
1.636,0.68067,1,0.048708,1,9
0.63596,0.68067,1,0.048708,1,9
-1.364,-0.31933,1,0.048708,1,9
-1.364,-0.31933,1,0.048708,1,9
1.636,0.68067,-1,0.048708,1,9
-1.364,-2.3193,1,0.048708,1,9
-1.364,-1.3193,1,0.048708,0,9
-0.36404,0.68067,1,0.048708,0,9
0.63596,0.68067,-1,0.048708,1,9
-1.364,-2.3193,1,0.048708,1,9
0.63596,0.68067,1,0.048708,1,9
1.636,0.68067,1,0.048708,1,9
-1.364,-2.3193,1,0.048708,1,9
-1.364,-3.3193,1,0.048708,1,9
1.636,0.68067,-1,0.048708,1,9
-1.364,0.68067,1,0.048708,1,9
-1.364,-1.3193,1,0.048708,1,9
2.636,0.68067,-1,0.048708,0,9
2.636,0.68067,1,0.048708,1,9
